domain,suite,problem,planner,success,runtime_ms,plan_length,exit_code,timeout_killed
logistics,adl,p06.pddl,ASP,false,120004,0,-1,true
logistics,adl,p06.pddl,MCTS,false,120019,0,-1,true
logistics,adl,p07.pddl,ASP,false,120006,0,-1,true
logistics,adl,p07.pddl,MCTS,false,2909,0,0,false
logistics,adl,p08.pddl,ASP,false,120012,0,-1,true
logistics,adl,p08.pddl,MCTS,false,120015,0,-1,true
logistics,adl,p09.pddl,ASP,false,120015,0,-1,true
logistics,adl,p09.pddl,MCTS,false,120005,0,-1,true
logistics,adl,p10.pddl,ASP,false,120006,0,-1,true
logistics,adl,p10.pddl,MCTS,false,65653,0,0,false
logistics,strips-round1,p01.pddl,ASP,false,120009,0,-1,true
logistics,strips-round1,p01.pddl,MCTS,false,746,0,0,false
logistics,strips-round1,p02.pddl,ASP,false,120012,0,-1,true
logistics,strips-round1,p02.pddl,MCTS,false,1139,0,0,false
logistics,strips-round1,p03.pddl,ASP,false,120011,0,-1,true
logistics,strips-round1,p03.pddl,MCTS,false,7673,0,0,false
logistics,strips-round1,p04.pddl,ASP,false,120018,0,-1,true
logistics,strips-round1,p04.pddl,MCTS,false,26265,0,0,false
logistics,strips-round1,p05.pddl,ASP,false,120020,0,-1,true
logistics,strips-round1,p05.pddl,MCTS,false,647,0,0,false
logistics,strips-round1,p06.pddl,ASP,false,120014,0,-1,true
logistics,strips-round1,p06.pddl,MCTS,false,120015,0,-1,true
logistics,strips-round1,p07.pddl,ASP,false,120017,0,-1,true
logistics,strips-round1,p07.pddl,MCTS,false,2757,0,0,false
logistics,strips-round1,p08.pddl,ASP,false,120003,0,-1,true
logistics,strips-round1,p08.pddl,MCTS,false,120017,0,-1,true
logistics,strips-round1,p09.pddl,ASP,false,120019,0,-1,true
logistics,strips-round1,p09.pddl,MCTS,false,98917,0,0,false
logistics,strips-round1,p10.pddl,ASP,false,120020,0,-1,true
logistics,strips-round1,p10.pddl,MCTS,false,68371,0,0,false
logistics,strips-round2,p01.pddl,ASP,true,1549,12,0,false
logistics,strips-round2,p01.pddl,MCTS,false,606,0,0,false
logistics,strips-round2,p02.pddl,ASP,true,1313,18,0,false
logistics,strips-round2,p02.pddl,MCTS,false,697,0,0,false
logistics,strips-round2,p03.pddl,ASP,false,120005,0,-1,true
logistics,strips-round2,p03.pddl,MCTS,false,726,0,0,false
logistics,strips-round2,p04.pddl,ASP,false,120007,0,-1,true
logistics,strips-round2,p04.pddl,MCTS,false,1120,0,0,false
logistics,strips-round2,p05.pddl,ASP,false,120012,0,-1,true
logistics,strips-round2,p05.pddl,MCTS,false,1793,0,0,false
